TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft of Bicycle,2023,5,29,0,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Theft of Bicycle,2023,5,30,18,0,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Theft of Bicycle,2023,5,31,11,16,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Theft of Bicycle,2023,1,13,13,38,37XX W 8TH AVE,West Point Grey,486376.789,5456965.4968
Theft of Bicycle,2023,2,16,20,23,44XX W 10TH AVE,West Point Grey,484869.3774,5456809.3213
Theft of Vehicle,2023,4,6,12,0,25XX CROWN ST,West Point Grey,485875.4908,5456827.0436
Theft of Vehicle,2023,7,9,19,0,30XX CAMOSUN ST,West Point Grey,485664.9981,5456378.3561
Theft of Vehicle,2023,1,20,5,13,38XX W 16TH AVE,West Point Grey,486179.4213,5456168.3366
Theft of Vehicle,2023,5,19,12,0,39XX W 10TH AVE,West Point Grey,486108.3963,5456770.3781
Theft of Vehicle,2023,3,9,1,43,42XX W 15TH AVE,West Point Grey,485333.1102,5456290.6929
Theft of Vehicle,2023,4,12,10,54,43XX W 10TH AVE,West Point Grey,485222.9314,5456791.012
Theft of Vehicle,2023,6,30,1,30,46XX W 9TH AVE,West Point Grey,484441.299,5456908.9234
Theft of Vehicle,2023,4,25,15,0,HIGHBURY ST / W 3RD AVE,West Point Grey,486353.6261,5457438.8407
Vehicle Collision or Pedestrian Struck (with Injury),2023,7,16,9,36,14XX NW MARINE DR,West Point Grey,485040.0,5458006.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,5,14,14,11,16XX BLOCK DISCOVERY ST,West Point Grey,485260.0,5457817.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,6,11,12,42,24XX BLOCK ALMA ST,West Point Grey,486479.0,5456937.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,6,24,18,22,38XX BLOCK POINT GREY RD,West Point Grey,486357.0,5457739.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,6,11,2,45,42XX NW MARINE DR,West Point Grey,485288.0,5457435.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,1,13,19,9,46XX BLOCK W 10TH AVE,West Point Grey,484533.0,5456813.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,4,4,18,21,BLANCA ST / W 4TH AVE,West Point Grey,484359.0,5457394.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,2,21,16,6,W 4TH AVE / HIGHBURY ST,West Point Grey,486350.0,5457336.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,5,25,15,29,W 4TH AVE / HIGHBURY ST,West Point Grey,486350.0,5457336.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,6,5,12,35,W 5TH AVE / ALMA ST,West Point Grey,486488.0,5457237.0
Vehicle Collision or Pedestrian Struck (with Injury),2023,6,13,12,30,W 8TH AVE / WALLACE CRES,West Point Grey,485928.0,5456943.0
Break and Enter Commercial,2023,6,4,5,0,37XX W 7TH AVE,West Point Grey,486391.9608,5457046.9512
Break and Enter Commercial,2023,3,12,17,0,37XX W 7TH AVE,West Point Grey,486468.4682,5457055.3486
Break and Enter Commercial,2023,1,13,13,38,37XX W 8TH AVE,West Point Grey,486376.789,5456965.4968
Break and Enter Commercial,2023,6,12,2,51,44XX W 10TH AVE,West Point Grey,484906.0384,5456799.2398
Break and Enter Commercial,2023,6,12,3,8,44XX W 10TH AVE,West Point Grey,484961.2524,5456806.9794
Break and Enter Commercial,2023,5,26,12,0,45XX W 10TH AVE,West Point Grey,484686.5259,5456813.9697
Break and Enter Commercial,2023,5,24,19,30,45XX W 10TH AVE,West Point Grey,484703.0892,5456804.4026
Break and Enter Residential/Other,2023,3,14,15,38,18XX DRUMMOND DR,West Point Grey,483944.1921,5457595.2984
Break and Enter Residential/Other,2023,5,21,20,15,19XX HIGHBURY ST,West Point Grey,486346.3692,5457356.1155
Break and Enter Residential/Other,2023,7,4,19,31,20XX HIGHBURY ST,West Point Grey,486353.9527,5457305.3113
Break and Enter Residential/Other,2023,5,31,11,16,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2023,6,29,8,49,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2023,7,1,14,38,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Break and Enter Residential/Other,2023,1,14,3,15,38XX W 11TH AVE,West Point Grey,486317.5137,5456658.7521
Break and Enter Residential/Other,2023,4,28,20,0,39XX W 16TH AVE,West Point Grey,486008.1785,5456173.8565
Break and Enter Residential/Other,2023,6,26,13,33,43XX W 15TH AVE,West Point Grey,485155.6622,5456286.3782
Break and Enter Residential/Other,2023,7,17,17,24,44XX W 1ST AVE,West Point Grey,484893.7842,5457731.428
Break and Enter Residential/Other,2023,6,4,0,0,44XX W 6TH AVE,West Point Grey,484969.3765,5457180.9345
Break and Enter Residential/Other,2023,6,2,1,0,44XX W 9TH AVE,West Point Grey,484901.0668,5456896.5446
Break and Enter Residential/Other,2023,1,16,19,35,45XX W 14TH AVE,West Point Grey,484651.3365,5456401.7294
Break and Enter Residential/Other,2023,7,9,11,2,45XX W 7TH AVE,West Point Grey,484606.0617,5457096.349
Break and Enter Residential/Other,2023,7,13,19,6,45XX W 9TH AVE,West Point Grey,484647.3058,5456912.4907
Break and Enter Residential/Other,2023,5,25,16,30,46XX BELLEVUE DR,West Point Grey,484448.4644,5457827.5034
Break and Enter Residential/Other,2023,3,14,14,0,46XX W 4TH AVE,West Point Grey,484408.5365,5457388.5166
Break and Enter Residential/Other,2023,6,4,22,30,46XX W 5TH AVE,West Point Grey,484409.2473,5457290.8811
Mischief,2023,4,14,20,58,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Mischief,2023,5,19,12,0,21XX ALMA ST,West Point Grey,486483.1983,5457216.5669
Mischief,2023,3,17,22,30,25XX WALLACE CRES,West Point Grey,486079.2139,5456821.758
Mischief,2023,7,3,21,0,29XX DISCOVERY ST,West Point Grey,485226.0126,5456490.3189
Mischief,2023,3,28,9,0,30XX COURTENAY ST,West Point Grey,485433.3581,5456309.3039
Mischief,2023,3,21,18,30,37XX W 10TH AVE,West Point Grey,486422.6606,5456769.9248
Mischief,2023,3,21,16,30,37XX W 10TH AVE,West Point Grey,486428.011,5456769.6945
Mischief,2023,6,30,18,0,37XX W 5TH AVE,West Point Grey,486484.1612,5457233.3514
Mischief,2023,6,4,5,0,37XX W 7TH AVE,West Point Grey,486391.9608,5457046.9512
Mischief,2023,3,15,22,39,39XX W 16TH AVE,West Point Grey,486009.1749,5456173.8341
Mischief,2023,1,6,22,45,39XX W BROADWAY AVE,West Point Grey,485971.5115,5456934.6616
Mischief,2023,1,1,1,45,39XX W BROADWAY AVE,West Point Grey,486049.8661,5456912.574
Mischief,2023,3,27,17,0,41XX W 12TH AVE,West Point Grey,485562.2637,5456589.9157
Mischief,2023,4,14,1,0,41XX W 15TH AVE,West Point Grey,485629.4476,5456271.3083
Mischief,2023,3,19,21,0,42XX NAUTILUS CLS,West Point Grey,485304.167,5457363.8944
Mischief,2023,4,29,23,0,42XX W 11TH AVE,West Point Grey,485420.2048,5456693.4877
Mischief,2023,7,1,0,0,43XX W 12TH AVE,West Point Grey,485076.3092,5456601.296
Mischief,2023,1,14,17,55,44XX W 10TH AVE,West Point Grey,484863.7466,5456800.3194
Mischief,2023,5,5,21,42,44XX W 5TH AVE,West Point Grey,485012.5748,5457274.9455
Mischief,2023,5,26,12,0,45XX W 10TH AVE,West Point Grey,484686.5259,5456813.9697
Mischief,2023,5,22,1,50,45XX W 11TH AVE,West Point Grey,484760.1635,5456710.8141
Mischief,2023,6,22,11,8,46XX W 13TH AVE,West Point Grey,484508.3612,5456505.9054
Mischief,2023,3,8,15,20,48XX NW MARINE DR,West Point Grey,484016.1425,5458226.0208
Mischief,2023,4,14,13,32,TRIMBLE ST / W 10TH AVE,West Point Grey,485005.817,5456801.27
Offence Against a Person,2023,7,19,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,6,3,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,6,24,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,6,24,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,2,24,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,2,24,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,1,29,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,2,3,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,4,19,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,1,16,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,6,6,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2023,6,27,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Other Theft,2023,3,22,18,9,13XX DISCOVERY ST,West Point Grey,485246.8717,5458027.4871
Other Theft,2023,7,7,12,0,13XX DISCOVERY ST,West Point Grey,485246.8717,5458027.4871
Other Theft,2023,1,13,17,30,19XX WALLACE ST,West Point Grey,486126.3004,5457363.1609
Other Theft,2023,3,27,0,0,19XX WALLACE ST,West Point Grey,486126.3004,5457363.1609
Other Theft,2023,3,4,13,47,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2023,3,12,10,16,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2023,3,25,17,56,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2023,5,27,15,0,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2023,6,15,18,45,20XX ALMA ST,West Point Grey,486484.4111,5457255.4503
Other Theft,2023,6,5,18,29,29XX COURTENAY ST,West Point Grey,485435.7359,5456405.4548
Other Theft,2023,2,27,22,0,37XX W 6TH AVE,West Point Grey,486409.7121,5457152.9546
Other Theft,2023,3,15,22,49,37XX W 8TH AVE,West Point Grey,486361.3784,5456956.5913
Other Theft,2023,5,23,10,28,38XX W 4TH AVE,West Point Grey,486191.7861,5457351.97
Other Theft,2023,2,15,13,0,39XX POINT GREY RD,West Point Grey,486116.6778,5457633.8457
Other Theft,2023,5,13,23,0,39XX POINT GREY RD,West Point Grey,486116.6778,5457633.8457
Other Theft,2023,7,5,16,0,39XX POINT GREY RD,West Point Grey,486116.6778,5457633.8457
Other Theft,2023,1,11,10,30,39XX W 16TH AVE,West Point Grey,486009.1749,5456173.8341
Other Theft,2023,1,24,18,0,39XX W 16TH AVE,West Point Grey,486009.1749,5456173.8341
Other Theft,2023,4,3,12,36,41XX W 15TH AVE,West Point Grey,485541.1594,5456283.8729
Other Theft,2023,5,25,10,0,42XX W 9TH AVE,West Point Grey,485318.0779,5456894.4807
Other Theft,2023,4,28,20,0,43XX NW MARINE DR,West Point Grey,485144.8787,5457752.6031
Other Theft,2023,4,29,0,0,43XX W 15TH AVE,West Point Grey,485029.9188,5456289.8884
Other Theft,2023,7,13,13,4,43XX W 16TH AVE,West Point Grey,485117.181,5456193.6745
Other Theft,2023,4,22,17,13,44XX W 13TH AVE,West Point Grey,484864.5938,5456496.7171
Other Theft,2023,4,19,19,53,45XX W 11TH AVE,West Point Grey,484583.9825,5456715.4423
Other Theft,2023,7,13,13,8,45XX W 16TH AVE,West Point Grey,484636.7503,5456208.8994
Other Theft,2023,7,18,10,0,46XX W 10TH AVE,West Point Grey,484437.853,5456820.5422
Other Theft,2023,5,26,17,0,46XX W 9TH AVE,West Point Grey,484368.0072,5456910.9458
Other Theft,2023,5,12,20,0,47XX NW MARINE DR,West Point Grey,484307.3391,5458179.0801
